ID,Course Name,Category,Description,Module Name,Topic
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Introduction,History of C
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Introduction,Environment Setup
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Introduction,Structure of C Program
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Basics,Variables & Constants
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Basics,Data Types
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Basics,Operators & Expressions
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Control Flow,if-else
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Control Flow,switch-case
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Control Flow,"Looping (for, while, do-while)"
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Advanced Concepts,Functions
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Advanced Concepts,Arrays & Strings
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Advanced Concepts,Pointers
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Advanced Concepts,Structures & Unions
c_programming,C Programming,Programming Languages,"Master the foundation of modern computing. Learn memory management, pointers, and low-level optimization.",Advanced Concepts,File I/O
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Basics,Installation & Setup
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Basics,Variables & Types
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Basics,Basic Math
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Data Structures,Lists
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Data Structures,Dictionaries
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Data Structures,Tuples
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Data Structures,Sets
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Logic,Conditions
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Logic,Loops
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Logic,List Comprehensions
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Advanced,Functions & Lambdas
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Advanced,Modules & Packages
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Advanced,Object Oriented Programming
python,Python,Programming Languages,"The most popular language for AI, Data Science, and Web Development. Clean, readable, and powerful.",Advanced,File Handling
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Core Java,JVM Architecture
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Core Java,JDK vs JRE
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Core Java,Data Types
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Core Java,OOPs Principles
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",OOPs Deep Dive,Inheritance
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",OOPs Deep Dive,Polymorphism
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",OOPs Deep Dive,Abstraction
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",OOPs Deep Dive,Encapsulation
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",OOPs Deep Dive,Interfaces
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Collections,ArrayList
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Collections,HashMap
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Collections,HashSet
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Collections,Iterators
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Advanced,Exception Handling
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Advanced,Multithreading
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Advanced,JDBC
java,Java,Programming Languages,"Enterprise-grade development. Learn the language that powers banking, Android, and massive scale systems.",Advanced,Streams API
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,Foundations,C vs C++
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,Foundations,Standard I/O
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,Foundations,Namespace
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,OOP in C++,Classes & Objects
cpp,C++,Programming Languages,High-performance systems programming. Master competitive programming and game engine development.,OOP in C++,Constructors & Destructors
